_related_company_domain,behind_firewall,company_domain,department_onet_codes,first_seen_at,id,last_seen_at,location_data,score,source_count
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2025-11-18T11:00:01Z,fc18d25c-1c32-4a35-a7c0-ce7848eed004,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2025-11-18T11:00:01Z,ef9339e8-4e45-4c78-b568-03275db417fc,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2025-11-18T11:00:01Z,6dd0ddcc-7879-4b0e-9a83-f16176ca43ee,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2025-11-18T11:00:01Z,2124c7b4-d4e5-4a6a-83a8-2360de6b9a9b,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2025-11-18T11:00:01Z,94b0f01a-d9b7-4ea8-9a78-fbf4f94e7eba,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1251.00""]",2025-11-01T11:00:02Z,8fd827a4-5674-4585-9bc3-ddcba219fb94,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.39,2
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2025-10-29T17:00:07Z,63b278a9-162a-48d2-ba40-bf61bf69f5d0,2025-11-27T23:00:05Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,False,astra.co.id,[],2025-10-27T15:00:27Z,c1a88b88-3ef3-49a1-86ec-5382eb4c4482,2026-08-23T19:10:45Z,[],0.6,1
astra.co.id,False,astra.co.id,"[""13-1161.01""]",2025-10-27T15:00:26Z,09e6e253-be8e-43c5-a7ad-9ffa8f99217e,2026-08-23T19:10:45Z,[],0.85,3
astra.co.id,True,astra.co.id,"[""15-1241.00""]",2025-10-27T14:51:20Z,1c097069-c2e9-43d8-ba2a-cc8a90ba916c,2026-01-01T17:00:01Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1241.00""]",2025-10-27T14:51:20Z,254eb9dd-26cf-4fa3-a0de-5e7f08adb3fb,2026-01-01T17:00:01Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1241.00""]",2025-10-27T14:51:20Z,542effb5-da02-4d2e-8783-0ff579fe4855,2026-01-01T17:00:01Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1232.00""]",2025-10-27T14:51:20Z,b0f37618-ff39-4ac0-8351-a577b3369574,2026-01-01T17:00:01Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
